Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
psl-003,0.0179,0.000630957344480193,0.0148,1.99526231496888e-05,0.004,2.51188643150958e-05,0.0077,1e-05,0.0129,0.000199526231496888,0.0067,1e-05,0.0025,1e-05,0.0069,1e-05
rankone-006,0.9406,0.000251188643150958,0.8388,0.000199526231496888,0.8374,7.94328234724282e-05,0.838,5.01187233627273e-05,0.9377,1e-04,0.8373,6.30957344480193e-05,0.8352,1.99526231496888e-05,0.8374,1.58489319246111e-05
rankone-007,0.0536,0.000501187233627273,0.0347,0.000125892541179417,0.0096,3.16227766016838e-05,0.0169,1e-05,0.0321,0.000158489319246111,0.0132,3.98107170553497e-05,0.0048,1e-05,0.0114,1e-05
realnetworks-003,0.046,0.000398107170553497,0.0322,3.98107170553497e-05,0.0184,7.94328234724282e-05,0.031,2.51188643150958e-05,0.0277,0.000158489319246111,0.0132,3.16227766016838e-05,0.0078,7.94328234724282e-05,0.0183,1.58489319246111e-05
remarkai-000,0.0286,0.000630957344480193,0.0232,3.16227766016838e-05,0.0081,6.30957344480193e-05,0.0152,1e-05,0.021,0.000125892541179417,0.0112,1e-05,0.0045,1e-05,0.0114,1e-05
remarkai-001,0.0287,0.000630957344480193,0.0232,3.16227766016838e-05,0.0081,6.30957344480193e-05,0.0153,1e-05,0.0211,0.000125892541179417,0.0113,1e-05,0.0045,1e-05,0.0114,1e-05
rokid-000,0.0452,0.000501187233627273,0.0276,3.98107170553497e-05,0.0062,6.30957344480193e-05,0.0132,1e-05,0.0277,0.000199526231496888,0.0097,1e-05,0.0033,1e-05,0.0092,1e-05
saffe-001,0.5013,7.94328234724282e-05,0.438,0.000125892541179417,0.4894,0.000251188643150958,0.5859,1e-05,0.4582,2.51188643150958e-05,0.3916,7.94328234724282e-05,0.4124,0.000199526231496888,0.5136,1e-05
sensetime-002,0.0421,0.000398107170553497,0.0268,2.51188643150958e-05,0.0051,1e-04,0.0115,1e-05,0.026,0.000199526231496888,0.0111,1e-05,0.0038,1.25892541179417e-05,0.0097,1e-05
shaman-001,0.1632,0.000125892541179417,0.1317,0.000316227766016838,0.1633,5.01187233627273e-05,0.1717,1.25892541179417e-05,0.1261,7.94328234724282e-05,0.1113,0.000158489319246111,0.111,2.51188643150958e-05,0.1334,1e-05
shu-001,0.0179,0.000398107170553497,0.0204,2.51188643150958e-05,0.0159,0.000251188643150958,0.0126,3.98107170553497e-05,0.0143,7.94328234724282e-05,0.0094,1e-05,0.0067,3.16227766016838e-05,0.0102,1e-05
siat-002,0.0306,0.000398107170553497,0.0213,2.51188643150958e-05,0.0047,0.000158489319246111,0.01,1e-05,0.0183,0.000199526231496888,0.009,1e-05,0.0033,3.16227766016838e-05,0.0087,1e-05
sjtu-001,0.0207,0.000501187233627273,0.0112,6.30957344480193e-05,0.0117,7.94328234724282e-05,0.0099,3.16227766016838e-05,0.0145,1e-04,0.0074,2.51188643150958e-05,0.0042,1.99526231496888e-05,0.0111,1.99526231496888e-05
smilart-003,0.0884,0.000501187233627273,0.0656,6.30957344480193e-05,0.0404,0.000158489319246111,0.0622,1e-05,0.0556,0.000125892541179417,0.0304,2.51188643150958e-05,0.0235,1e-05,0.0411,1e-05
